C:\Users\Ranit\Anaconda3\python.exe E:/StudyFIle/MLProject/CharSCNN-theano-1/charscnn.py
C:\Users\Ranit\Anaconda3\lib\site-packages\sklearn\cross_validation.py:44: DeprecationWarning: This module was deprecated in version 0.18 in favor of the model_selection module into which all the refactored classes and functions are moved. Also note that the interface of the new CV iterators are different from that of this module. This module will be removed in 0.20.
  "This module will be removed in 0.20.", DeprecationWarning)
counter#290  epoch: 1, test mean loss=0.5139049001468137, test accuracy=0.7370000000000004

counter#291  epoch: 1, test mean loss=0.5090353393698543, test accuracy=0.7425

counter#292  epoch: 1, test mean loss=0.5106220280228957, test accuracy=0.7375000000000003

counter#293  epoch: 1, test mean loss=0.5104371141949504, test accuracy=0.7345000000000002

counter#294  epoch: 1, test mean loss=0.508799942948842, test accuracy=0.738

counter#295  epoch: 1, test mean loss=0.5074843258655605, test accuracy=0.7450000000000001

counter#296  epoch: 1, test mean loss=0.507188649087916, test accuracy=0.7430000000000004

